bit_value,bit_name,dominions_version
1,Averted Fate,4.03
2,Invulnerability,4.03
4,Hasted Action,4.03
8,Mossbody,4.03
16,"Radiant Fear +0 (?, Dominions 3)",4.03
32,Water Shield,4.03
64,"Trample (?, Dominions 3)",4.03
128,Magic Power,4.03
256,<Unknown>,4.03
512,<Unknown>,4.03
1024,"Pretender (?, Dominions 3)",4.03
2048,Soul Vortex,4.03
4096,Earth Power,4.03
8192,Storm Power,4.03
16384,Charged Body,4.03
32768,Fire Shield,4.03
65536,Mistform,4.03
131072,Hell Power,4.03
262144,Fire Power,4.03
524288,Water Power,4.03
1048576,Nature Power,4.03
2097152,<Unknown>,4.03
4194304,Twiceborn,4.03
8388608,Returning,4.03
16777216,Mirrored Image,4.03
33554432,Unholy Power,4.03
67108864,Inner Sun,4.03
134217728,Phoenix Pyre,4.03
268435456,Astral Shield,4.03
536870912,Manikin Regeneration,4.03
1073741824,Dragon Mastery,4.03
2147483648,<Unknown>,4.03
4294967296,<Unknown>,4.03
8589934592,<Unknown>,4.03
17179869184,Stygian Skin (?),4.03
34359738368,<Unknown>,4.03
68719476736,<Unknown>,4.03
137438953472,<Unknown>,4.03
274877906944,<Unknown>,4.03
549755813888,<Unknown>,4.03
1099511627776,<Unknown>,4.03
2199023255552,<Unknown>,4.03
4398046511104,<Unknown>,4.03
8796093022208,<Unknown>,4.03
17592186044416,<Unknown>,4.03
35184372088832,<Unknown>,4.03
70368744177664,<Unknown>,4.03
140737488355328,<Unknown>,4.03
281474976710656,<Unknown>,4.03
562949953421312,<Unknown>,4.03
1125899906842624,<Unknown>,4.03
2251799813685248,<Unknown>,4.03
4503599627370496,<Unknown>,4.03
9007199254740992,<Unknown>,4.03
18014398509481984,<Unknown>,4.03
36028797018963968,<Unknown>,4.03
72057594037927936,<Unknown>,4.03
144115188075855872,<Unknown>,4.03
288230376151711744,<Unknown>,4.03
576460752303423488,<Unknown>,4.03
1152921504606846976,<Unknown>,4.03
2305843009213693952,<Unknown>,4.03
4611686018427387904,<Unknown>,4.03
